symbol,financial_currency,currency_flag,periods_available,ebit,total_liabilities,ni_0,ni_1,cfo_0,cfo_1,ta_0,ta_1,ltd_0,ltd_1,ca_0,ca_1,cl_0,cl_1,rev_0,rev_1,cogs_0,cogs_1,shares_0,shares_1,ar_0,ar_1,ppe_net_0,ppe_net_1,ppe_gross_0,ppe_gross_1,dep_0,dep_1,sga_0,sga_1,sti_0,sti_1,error_reason
20MICRONS,INR,OK,5,1018019000.0,2693674000.0,668256000.0,623763000.0,1035949000.0,317864000.0,7562226000.0,7145086000.0,174497000.0,222079000.0,4169528000.0,3731372000.0,2170991000.0,2193068000.0,9516757000.0,9116589000.0,6032266000.0,5845041000.0,35286502.0,35286502.0,1767097000.0,1432276000.0,3076369000.0,2995677000.0,4982906000.0,4689313000.0,205278000.0,182584000.0,1534917000.0,1454423000.0,96380000.0,80978000.0,
21STCENMGM,INR,OK,5,-239589000.0,64990000.0,-240474000.0,123377000.0,-23686000.0,51478000.0,395560000.0,570650000.0,,,186173000.0,316104000.0,63591000.0,58581000.0,-168779000.0,1128817000.0,61766000.0,922052000.0,10500000.0,10500000.0,61348000.0,78732000.0,250000.0,402000.0,,2378000.0,151000.0,322000.0,,3378000.0,,,
360ONE,INR,OK,5,26671200000.0,173658000000.0,12161700000.0,10153000000.0,-29210600000.0,-24621700000.0,272013500000.0,197687000000.0,153202700000.0,29494400000.0,137901000000.0,112571400000.0,10589800000.0,93302000000.0,31381300000.0,26353100000.0,12197000000.0,9713100000.0,406138438.0,393073939.0,5035600000.0,4430600000.0,8559400000.0,3500100000.0,8559400000.0,4705200000.0,1552200000.0,705300000.0,,1329600000.0,9123500000.0,69409500000.0,
3BBLACKBIO,INR,OK,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,empty balance_sheet or financials from yfinance
3IINFOLTD,INR,OK,5,491700000.0,2843900000.0,354600000.0,253500000.0,-435800000.0,315600000.0,6621700000.0,5728200000.0,70200000.0,70000000.0,2786400000.0,2622300000.0,2462700000.0,2219800000.0,6933600000.0,7257600000.0,6361300000.0,6475600000.0,207403767.0,179055134.0,1080800000.0,1023400000.0,1248500000.0,1367400000.0,1248500000.0,2240500000.0,197400000.0,277800000.0,,300600000.0,1307300000.0,44200000.0,
3MINDIA,INR,OK,5,9375300000.0,13691000000.0,5223200000.0,4760700000.0,5137200000.0,3551100000.0,31372500000.0,30145917000.0,,,25423800000.0,24406715000.0,11650300000.0,10429558000.0,50897600000.0,44455600000.0,29333200000.0,26494100000.0,11265070.0,11265070.0,8386000000.0,7902674000.0,4970100000.0,4283847000.0,4970100000.0,7703060000.0,626400000.0,552900000.0,,1262952000.0,77300000.0,98370000.0,
3PLAND,INR,OK,5,20953000.0,76632000.0,21781000.0,20902000.0,588000.0,11711000.0,1123202000.0,1534938000.0,,,1107119000.0,1518560000.0,1658000.0,1586000.0,38583000.0,36586000.0,71000.0,43000.0,18000000.0,18000000.0,,,1159000.0,1437000.0,5459000.0,5351000.0,701000.0,437000.0,2906000.0,2443000.0,884977000.0,1319393000.0,
5PAISA,INR,OK,5,918214000.0,12579010000.0,441855000.0,682331000.0,-1037056000.0,979350000.0,19071252000.0,16666280000.0,3785600000.0,2174160000.0,17582740000.0,15732620000.0,595580000.0,10535680000.0,1810179000.0,2291565000.0,886241000.0,740300000.0,31251838.0,31233338.0,1940000.0,490000.0,152830000.0,162290000.0,152830000.0,353240000.0,92177000.0,122239000.0,,735860000.0,13804420000.0,532020000.0,
63MOONS,INR,OK,5,-354040000.0,2370628000.0,-224337000.0,-331704000.0,-2929724000.0,-1427828000.0,38865852000.0,36785417000.0,25694000.0,,23228978000.0,23946828000.0,2059927000.0,2217552000.0,2106298000.0,466381000.0,2050371000.0,1200970000.0,46078537.0,46078537.0,662467000.0,29658000.0,2351263000.0,2109543000.0,2351263000.0,4598588000.0,325892000.0,322959000.0,924933000.0,907929000.0,20105927000.0,20191563000.0,
A2ZINFRA,INR,OK,5,150075000.0,4286449000.0,43729000.0,89731000.0,-166145000.0,542143000.0,4606685000.0,4984243000.0,7511000.0,6926000.0,3205575000.0,3301438000.0,3839938000.0,4264157000.0,3864379000.0,3362675000.0,1788229000.0,1332430000.0,176119858.0,176119858.0,803073000.0,1047971000.0,340992000.0,559304000.0,340992000.0,5702784000.0,47764000.0,49310000.0,,114555000.0,1159200000.0,789486000.0,
