symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date
20MICRONS,20 Microns Limited,Basic Materials,Other Industrial Metals & Mining,9538325504.0,1230866048.0,12.9,1560039936.0,6998725120.0,55.16,14.8,14.48,18.8829,0.0,668256000.0,2026-07-11,ok,INR,OK,7562226000.0,3978873000.0,1998537000.0,1.921,1.191,32.043,0.092480004,0.623,,7775828992.0,818889024.0,1035948992.0,574858112.0,1.4478958,10.472016,2026-07-12
21STCENMGM,Twentyfirst Century Management Services Limited,Financial Services,Capital Markets,-168779008.0,-239438000.0,141.86,0.0,334844992.0,72.41,,-57.21,-72.1721,0.0,-240474000.0,2026-07-11,ok,INR,OK,395560000.0,,122582000.0,2.928,1.522,,-0.30996,0.598,,299313536.0,35456000.0,-23686000.0,13173875.0,1.0127025,,2026-07-12
360ONE,360 One Wam Limited,Financial Services,Asset Management,44772601856.0,28223399936.0,63.04,159313100800.0,459147378688.0,17.0,26.9,14.39,10.2023,0.0,12161699840.0,2026-07-11,ok,INR,OK,272013500000.0,,127311200000.0,13.022,2.515,161.977,0.07098,0.394,,602344783872.0,14815899648.0,-29210599424.0,14332699648.0,4.6550364,38.611492,2026-07-12
3BBLACKBIO,3B Blackbio Dx Limited,,,1419181056.0,585150976.0,41.23,31066000.0,,66.02,57.5,19.89,,,585859008.0,2026-07-11,ok,INR,OK,,,,5.272,4.124,0.937,0.09906,0.42,,9314015232.0,383139008.0,524759008.0,584679488.0,2.9574735,,2026-07-12
3IINFOLTD,3i Infotech Limited,Technology,Information Technology Services,6933600256.0,-180000000.0,-2.6,615699968.0,3892968704.0,13.34,-6.0,10.26,11.8226,0.0,354600000.0,2026-07-11,ok,INR,OK,6621700000.0,,323700000.0,1.131,0.754,16.298,-0.0382,-0.175,,3819167744.0,776000000.0,-435800000.0,201337504.0,1.0528973,10.313187,2026-07-12
3MINDIA,3M India Limited,Industrials,Conglomerates,50897600512.0,9857599488.0,19.37,1697500032.0,398445510656.0,76.48,16.8,28.9,47.5368,0.0,5223199744.0,2026-07-11,ok,INR,OK,31372500000.0,,13773500000.0,2.182,1.422,9.6,0.18757,0.27,,393809821696.0,8177800192.0,5137200128.0,4592943104.0,22.638916,76.33538,2026-07-12
3PLAND,3P Land Holdings Ltd,,,,,,,,,,,1.8682,0.0,,2026-07-11,ok,INR,OK,1123202000.0,248588000.0,1105461000.0,,,,,,,,,,,,,2026-07-12
5PAISA,5paisa Capital Limited,Financial Services,Capital Markets,2873612032.0,,,3785600000.0,17146087424.0,71.24,6.4,7.05,4.9699,0.0,441855008.0,2026-07-11,ok,INR,OK,19071252000.0,,16987160000.0,4.862,4.832,58.31,0.02473,0.533,,1050216128.0,14177139712.0,-1037056000.0,,1.7623702,25.902975,2026-07-12
63MOONS,63 moons technologies limited,Technology,Software - Application,2115934976.0,-2816858880.0,-133.13,54222000.0,31268892672.0,58.13,519.5,-1.52,-0.9619,0.0,-223943008.0,2026-07-11,ok,INR,OK,38865852000.0,,21168941000.0,11.277,9.925,0.149,-0.05193,0.716,,12756224000.0,19559452672.0,-2929723904.0,-2795436032.0,0.88079995,,2026-07-12
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Engineering & Construction,3848508928.0,206873504.0,5.38,912934976.0,2408978176.0,36.77,28.9,,23.782,99.68,23833000.0,2026-07-11,ok,INR,OK,4984243000.0,-10427512000.0,-962719000.0,,,353.886,,0.107,,2873071360.0,43846000.0,,,5.0389895,96.928566,2026-07-12
AAATECH,AAA Technologies Limited,Technology,Information Technology Services,203786000.0,16579000.0,8.14,0.0,1222265728.0,71.71,-68.1,6.68,8.9145,0.0,20629000.0,2026-07-11,ok,INR,OK,326454000.0,,300328000.0,18.862,7.506,,0.02562,0.318,,1166797312.0,65973000.0,26964000.0,-155164128.0,3.9813654,59.186337,2026-07-12
AADHARHFC,AADHAR HOUSING FINANCE L,Financial Services,Mortgage Finance,22549100544.0,,,187433205760.0,233778544640.0,74.78,20.9,15.75,4.6166,0.0,10958799872.0,2026-07-11,ok,INR,OK,273988400000.0,,259260200000.0,24.997,24.594,248.556,0.0433,0.369,,406713106432.0,12846199808.0,-28078800896.0,,3.0782297,21.597979,2026-07-12
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas Equipment & Services,1124600064.0,150712992.0,13.4,267812992.0,895049984.0,,26.7,5.63,9.5614,0.0,34999000.0,2026-07-11,ok,INR,OK,1061143000.0,,-56924000.0,0.84,0.7,41.927,0.03367,-0.238,,1141363712.0,1144000.0,144310000.0,-77281816.0,1.3692689,25.257143,2026-07-12
AARNAV,Aarnav Fashions Limited,,,4624044032.0,300643008.0,6.5,1091686016.0,,71.48,45.1,4.88,,0.0,93463000.0,2026-07-11,ok,INR,OK,,,,1.646,0.949,55.533,0.03526,0.682,,1920430592.0,226612992.0,214492000.0,-177772992.0,0.5368468,,2026-07-12
AARON,Aaron Industries Limited,Industrials,Specialty Industrial Machinery,920049984.0,176870000.0,19.22,277476000.0,2491164672.0,,13.3,14.84,21.4761,0.0,67974000.0,2026-07-11,ok,INR,OK,911784000.0,,96563000.0,1.372,0.392,57.079,0.09919,-0.068,,2689718528.0,31611000.0,76704000.0,57265000.0,5.0272646,36.593845,2026-07-12
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,25653100544.0,3115899904.0,12.15,5766400000.0,36215934976.0,60.16,6.4,13.36,12.9218,2.47,1949200000.0,2026-07-11,ok,INR,OK,28152600000.0,,5455100000.0,1.591,0.926,37.221,0.05673,0.354,,41724588032.0,242800000.0,2535399936.0,-60057500.0,2.337032,18.58548,2026-07-12
AARTIIND,Aarti Industries Limited,Basic Materials,Specialty Chemicals,82859999232.0,11509999616.0,13.89,49659998208.0,175595995136.0,42.08,13.2,7.25,8.5341,3.57,4190000128.0,2026-07-11,ok,INR,OK,132990000000.0,,-8510000000.0,0.831,0.399,83.392,0.03466,0.592,,218561298432.0,6089999872.0,7809999872.0,-6463949824.0,2.9385521,41.84097,2026-07-12
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Drug Manufacturers - Specialty & Generic,18194425856.0,4024176896.0,22.12,7937210880.0,64332795904.0,44.22,3.3,8.49,10.9988,11.03,1747073024.0,2026-07-11,ok,INR,OK,34817059000.0,,4597218000.0,1.49,0.643,37.359,0.058330003,0.216,,72180064256.0,96159000.0,2619314944.0,-1659496192.0,3.0282788,36.892876,2026-07-12
AARTISURF,Aarti Surfactants Limited,Basic Materials,Specialty Chemicals,8594592768.0,472112992.0,5.49,1041825984.0,3278663680.0,55.24,26.8,5.17,9.2522,0.0,123421000.0,2026-07-11,ok,INR,OK,5166597000.0,,641099000.0,1.325,0.602,42.536,0.037130002,0.622,,4180238592.0,134310000.0,766470976.0,177834496.0,1.3362079,26.601374,2026-07-12
AARVI,Aarvi Encon Limited,Industrials,Staffing & Employment Services,6498518016.0,226874000.0,3.49,266970000.0,2299213056.0,,19.2,13.18,15.0804,0.0,176204992.0,2026-07-11,ok,INR,OK,2369483000.0,,894358000.0,2.045,1.398,18.792,0.05811,-0.109,,2390356480.0,172563008.0,80458000.0,96460624.0,1.6160902,13.178269,2026-07-12
AAVAS,Aavas Financiers Limited,Financial Services,Mortgage Finance,15562722304.0,,,156855713792.0,120988647424.0,49.67,19.2,13.92,2.7457,0.0,6548812800.0,2026-07-11,ok,INR,OK,212125009000.0,,202182725000.0,1603.958,1603.958,310.553,0.03288,0.525,,259262824448.0,18432993280.0,-13864162304.0,,2.3924727,18.588137,2026-07-12
ABB,ABB India Limited,Industrials,Specialty Industrial Machinery,133767200768.0,18776449024.0,14.04,848200000.0,1448605646848.0,75.31,0.8,,28.4544,0.0,15539999744.0,2026-07-11,ok,INR,OK,136384800000.0,51507800000.0,60162600000.0,,,1.082,,0.522,,1391176187904.0,58277699584.0,,,18.486567,93.45181,2026-07-12
ABBOTINDIA,Abbott India Limited,Healthcare,Drug Manufacturers - Specialty & Generic,69290500096.0,18920800256.0,27.31,1719900032.0,577237286912.0,75.55,6.5,34.46,41.8728,,15520199680.0,2026-07-11,ok,INR,OK,65019300000.0,,22941200000.0,2.554,1.772,3.602,0.18279,0.016,,555113316352.0,23861000192.0,13192399872.0,13733062656.0,12.091147,37.174644,2026-07-12
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Financial Conglomerates,323269885952.0,,,1808028663808.0,1117033857024.0,68.77,7.7,11.18,,0.0,37644898304.0,2026-07-11,ok,INR,OK,3353931200000.0,,,69.788,58.157,491.748,0.01258,0.675,,2842010845184.0,59150000128.0,-365441187840.0,,3.1074712,28.65263,2026-07-12
ABCOTS,A B COTSPIN INDIA LIMITED,Consumer Cyclical,Textile Manufacturing,2988820992.0,396204992.0,13.26,1468244992.0,4611042304.0,84.45,22.5,9.87,13.1028,0.0,130281000.0,2026-07-11,ok,INR,OK,3128787000.0,,841731000.0,1.88,0.772,95.828,0.053379998,-0.708,,6065397760.0,16102000.0,344747008.0,-138081504.0,3.0109286,35.22483,2026-07-12
ABDL,ALLIED BLEND N DISTILS L,Consumer Defensive,Beverages - Wineries & Distilleries,39227785216.0,5401330176.0,13.77,11505278976.0,181461958656.0,80.93,9.4,13.55,24.6197,0.0,2283220992.0,2026-07-11,ok,INR,OK,41537023000.0,4067287000.0,7501691000.0,1.344,0.909,68.251,0.07569,0.758,,191851347968.0,1346532992.0,3619611904.0,-850016384.0,10.914,79.406364,2026-07-12
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Apparel Manufacturing,81769201664.0,6866400256.0,8.4,61891100672.0,73030967296.0,59.07,15.7,-12.69,-3.1621,0.0,-7758900224.0,2026-07-11,ok,INR,OK,177572000000.0,,11876300000.0,1.252,0.414,98.822,-0.023729999,0.007,,123682635776.0,15454799872.0,1607500032.0,-2212512512.0,1.2503386,,2026-07-12
ABINFRA,A B INFRABUILD LIMITED,Industrials,Engineering & Construction,2562071040.0,380723008.0,14.86,1156440960.0,6566754816.0,79.17,17.0,13.83,17.8922,0.0,193412992.0,2026-07-11,ok,INR,OK,3616420000.0,,1197700000.0,1.757,0.861,68.314,0.067719996,0.423,,7655903744.0,320060992.0,-511736000.0,-645289280.0,4.028213,34.266663,2026-07-12
ABLBL,ADITYA BIRLA LIFES BRAN L,Consumer Cyclical,Apparel Retail,83958104064.0,13440100352.0,16.01,30180999168.0,116058685440.0,57.3,11.9,12.72,13.2277,0.0,1710499968.0,2026-07-11,ok,INR,OK,87200500000.0,,2814600000.0,1.065,0.304,213.719,0.04034,,,144866639872.0,1078499968.0,12188099584.0,5349324800.0,8.197495,67.76596,2026-07-12
ABMINTLLTD,ABM International Limited,Basic Materials,Specialty Chemicals,544595008.0,-24784000.0,-4.55,83618000.0,382058880.0,,-18.7,-17.19,-12.0657,0.0,-21490000.0,2026-07-11,ok,INR,OK,370204000.0,,46421000.0,1.162,0.528,72.831,-0.05145,-0.047,,398494240.0,45192000.0,32509000.0,41578124.0,3.1361494,,2026-07-12
ABMKNO,ABM Knowledgeware Limited,,,1034630976.0,177328992.0,17.14,0.0,,81.38,4.7,4.18,,,94482000.0,2026-07-11,ok,INR,OK,,,,7.475,6.039,,0.029860001,0.338,,2611033088.0,910097984.0,-113539000.0,-48014876.0,1.425536,,2026-07-12
ABREL,Aditya Birla Real Estate Limited,Real Estate,Real Estate Services,4143000064.0,-3494299904.0,-84.34,56364900352.0,160006127616.0,55.43,,-8.91,-5.1922,0.0,-3264699904.0,2026-07-11,ok,INR,OK,202327600000.0,13083000000.0,53656500000.0,1.437,0.252,152.371,-0.01411,0.3,,192675315712.0,23729299456.0,7472300032.0,2291837440.0,4.324877,,2026-07-12
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Asset Management,20566999040.0,12911200256.0,62.78,637299968.0,331600723968.0,44.83,-15.0,25.1,30.7182,0.0,9750700032.0,2026-07-11,ok,INR,OK,44154300000.0,37202900000.0,27591100000.0,17.466,17.029,1.577,0.18665001,0.331,,293662490624.0,38120001536.0,8119300096.0,8234925056.0,8.193277,34.013645,2026-07-12
ACC,ACC Limited,Basic Materials,Building Materials,257617002496.0,27312099328.0,10.6,4286099968.0,259991470080.0,57.49,32.3,10.93,10.4238,0.0,21370699776.0,2026-07-11,ok,INR,OK,275252600000.0,167100100000.0,56113700000.0,1.974,1.118,2.085,0.04318,0.271,2.33,258941059072.0,5376000000.0,-13640099840.0,-38653227008.0,1.2651322,12.195015,2026-07-12
ACCELYA,Accelya Solutions India Limited,Technology,Information Technology Services,5368771072.0,1373111808.0,25.58,868561984.0,16551731200.0,75.13,-0.5,,51.9174,0.0,988744000.0,2026-07-11,ok,INR,OK,4493375000.0,,2062842000.0,,,33.047,,0.432,,16234932224.0,1186052992.0,,,6.297026,15.360853,2026-07-12
ACE,Action Construction Equipment Limited,Industrials,Farm & Heavy Construction Machinery,32804399104.0,5039499776.0,15.36,79000000.0,117710856192.0,66.81,7.1,22.89,28.4624,0.0,4150899968.0,2026-07-11,ok,INR,OK,32516800000.0,,4062400000.0,1.334,0.757,0.393,0.09827,0.319,,111398223872.0,6374600192.0,4172699904.0,2728798464.0,5.852486,28.329992,2026-07-12
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Staffing & Employment Services,8100000.0,-15800000.0,-195.06,800000.0,214302000.0,,-93.8,-5.55,-7.1002,0.0,-9500000.0,2026-07-11,ok,INR,OK,169900000.0,,87700000.0,39.13,21.522,0.479,-0.06072,0.031,,267241648.0,31200000.0,-1600000.0,3750000.0,1.78338,,2026-07-12
