symbol,field,source,before,after,note,timestamp
21STCENMGM,revenue,yfinance.info,,-168779008,backfilled,2026-07-20T12:15:16
21STCENMGM,ebitda_margin_pct,yfinance.info,,0.0,backfilled,2026-07-20T12:15:16
21STCENMGM,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
3BBLACKBIO,market_cap,yfinance.info,,,no value returned,2026-07-20T12:15:16
3BBLACKBIO,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
3PLAND,revenue,yfinance.info,,,no value returned,2026-07-20T12:15:16
3PLAND,ebitda_margin_pct,yfinance.info,,,no value returned,2026-07-20T12:15:16
3PLAND,total_debt,yfinance.info,,,no value returned,2026-07-20T12:15:16
3PLAND,market_cap,yfinance.info,,,no value returned,2026-07-20T12:15:16
3PLAND,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
3PLAND,return_on_equity_pct,yfinance.info,,,no value returned,2026-07-20T12:15:16
5PAISA,ebitda_margin_pct,yfinance.info,,0.0,backfilled,2026-07-20T12:15:16
63MOONS,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
A2ZINFRA,return_on_equity_pct,yfinance.info,,17.871,backfilled,2026-07-20T12:15:16
AADHARHFC,ebitda_margin_pct,yfinance.info,,0.0,backfilled,2026-07-20T12:15:16
AARNAV,market_cap,yfinance.info,,,no value returned,2026-07-20T12:15:16
AARNAV,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
AAVAS,ebitda_margin_pct,yfinance.info,,0.0,backfilled,2026-07-20T12:15:16
ABB,return_on_equity_pct,yfinance.info,,,no value returned,2026-07-20T12:15:16
ABCAPITAL,ebitda_margin_pct,yfinance.info,,0.0,backfilled,2026-07-20T12:15:16
ABFRL,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ABMINTLLTD,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ABMKNO,market_cap,yfinance.info,,,no value returned,2026-07-20T12:15:16
ABMKNO,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ABREL,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ACCELYA,return_on_equity_pct,yfinance.info,,,no value returned,2026-07-20T12:15:16
ACEINTEG,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ACL,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ACSTECH,market_cap,yfinance.info,,,no value returned,2026-07-20T12:15:16
ACSTECH,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ADOR,return_on_equity_pct,yfinance.info,,,no value returned,2026-07-20T12:15:16
AEQUS,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
AHLEAST,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
AHLEAST,return_on_equity_pct,yfinance.info,,-27.479,backfilled,2026-07-20T12:15:16
AIIL,ebitda_margin_pct,yfinance.info,,0.0,backfilled,2026-07-20T12:15:16
AKCAPIT,market_cap,yfinance.info,,,no value returned,2026-07-20T12:15:16
AKCAPIT,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
AKSHAR,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ALBERTDAVD,trailing_pe,yfinance.info,,,no value returned,2026-07-20T12:15:16
ALKYLAMINE,total_debt,yfinance.info,,,no value returned,2026-07-20T12:15:16
