symbol,name,market_cap_cr,revenue_cr,sector,industry,generations,attempts,last_detail
SIGACHI,Sigachi Industries Limited,995.6,486.1,Healthcare,Drug Manufacturers - Specialty & Generic,0,3,all providers returned nothing (or unparseable)
MODISONLTD,Modison Limited,952.2,222.1,Industrials,Electrical Equipment & Parts,0,3,all providers returned nothing (or unparseable)
LIKHITHA,Likhitha Infrastructure Limited,928.6,456.7,Energy,Oil & Gas Equipment & Services,0,3,all providers returned nothing (or unparseable)
BSHSL,Bombay Super Hybrid Seeds Limited,910.3,344.1,Basic Materials,Agricultural Inputs,0,4,all providers returned nothing (or unparseable)
MICEL,MIC Electronics Limited,908.4,190.5,Technology,Electronic Components,0,3,all providers returned nothing (or unparseable)
SALSTEEL,S.A.L. Steel Limited,792.9,207.4,Basic Materials,Steel,0,3,all providers returned nothing (or unparseable)
LOKESHMACH,Lokesh Machines Limited,747.8,208.6,Industrials,Specialty Industrial Machinery,0,3,all providers returned nothing (or unparseable)
GEECEE,GeeCee Ventures Limited,741.5,74.8,Real Estate,Real Estate - Development,0,3,all providers returned nothing (or unparseable)
SUBEXLTD,Subex Limited,712.4,279.1,Technology,Software - Application,0,3,all providers returned nothing (or unparseable)
CHEMBONDCH,Chembond Chemicals Limited,673.0,347.3,Basic Materials,Specialty Chemicals,0,4,all providers returned nothing (or unparseable)
ZIMLAB,ZIM Laboratories Limited,635.0,374.4,Healthcare,Drug Manufacturers - Specialty & Generic,0,3,all providers returned nothing (or unparseable)
SOFTTECH,SoftTech Engineers Limited,592.4,132.9,Technology,Software - Application,0,3,all providers returned nothing (or unparseable)
UNIDT,United Drilling Tools Limited,450.1,181.1,Energy,Oil & Gas Equipment & Services,0,3,all providers returned nothing (or unparseable)
GINNIFILA,Ginni Filaments Limited,426.5,368.7,Consumer Cyclical,Textile Manufacturing,0,3,all providers returned nothing (or unparseable)
MBLINFRA,MBL Infrastructures Limited,389.8,176.1,Industrials,Engineering & Construction,0,3,all providers returned nothing (or unparseable)
KESORAMIND,Kesoram Industries Limited,368.4,247.6,Basic Materials,Building Materials,0,3,all providers returned nothing (or unparseable)
JKIPL,JINKUSHAL INDUSTRIES LTD,358.5,357.6,Industrials,Farm & Heavy Construction Machinery,0,3,all providers returned nothing (or unparseable)
VALIANTLAB,Valiant Laboratories Limited,341.6,237.5,Healthcare,Drug Manufacturers - Specialty & Generic,0,3,all providers returned nothing (or unparseable)
TIGERLOGS,Tiger Logistics (India) Limited,333.6,305.1,Industrials,Integrated Freight & Logistics,0,3,all providers returned nothing (or unparseable)
VERTOZ,Vertoz Limited,300.9,291.9,Technology,Software - Infrastructure,0,3,all providers returned nothing (or unparseable)
DPWIRES,D.P. Wires Limited,270.4,480.7,Industrials,Metal Fabrication,0,4,all providers returned nothing (or unparseable)
FCSSOFT,FCS Software Solutions Limited,263.3,58.2,Technology,Information Technology Services,0,4,all providers returned nothing (or unparseable)
VETO,Veto Switchgears and Cables Limited,241.2,386.7,Industrials,Electrical Equipment & Parts,0,3,all providers returned nothing (or unparseable)
SUMIT,Sumit Woods Limited,237.0,99.5,Real Estate,Real Estate - Development,0,3,all providers returned nothing (or unparseable)
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,219.8,472.3,Healthcare,Drug Manufacturers - Specialty & Generic,0,4,all providers returned nothing (or unparseable)
PILITA,Pil Italica Lifestyle Limited,212.0,101.0,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0,3,all providers returned nothing (or unparseable)
NECLIFE,Nectar Lifesciences Limited,207.9,9.3,Healthcare,Drug Manufacturers - Specialty & Generic,0,3,all providers returned nothing (or unparseable)
NOVAAGRI,Nova Agritech Limited,207.5,261.6,Basic Materials,Agricultural Inputs,0,3,all providers returned nothing (or unparseable)
CPCAP,CP Capital Limited,198.8,76.5,Financial Services,Credit Services,0,4,all providers returned nothing (or unparseable)
AKSHARCHEM,AksharChem (India) Limited,188.1,372.4,Basic Materials,Specialty Chemicals,0,4,all providers returned nothing (or unparseable)
