symbol,name,market_cap_cr,revenue_cr,sector,industry,generations,attempts,last_detail
SBILIFE,SBI Life Insurance Company Limited,183105.2,112291.1,Financial Services,Insurance - Life,1,8,all providers returned nothing (or unparseable)
SIEMENS,Siemens Limited,129984.0,17237.4,Industrials,Specialty Industrial Machinery,1,7,all providers returned nothing (or unparseable)
MUTHOOTFIN,Muthoot Finance Limited,123347.2,19183.5,Financial Services,Credit Services,1,7,all providers returned nothing (or unparseable)
SWIGGY,SWIGGY LIMITED,70642.3,23053.0,Consumer Cyclical,Internet Retail,1,8,all providers returned nothing (or unparseable)
SONACOMS,Sona BLW Precision Forgings Limited,45413.3,4449.5,Consumer Cyclical,Auto Parts,1,7,all providers returned nothing (or unparseable)
PAGEIND,Page Industries Limited,44944.5,5246.8,Consumer Cyclical,Apparel Manufacturing,1,8,all providers returned nothing (or unparseable)
PIIND,PI Industries Limited,40663.3,6713.7,Basic Materials,Agricultural Inputs,1,8,all providers returned nothing (or unparseable)
UCOBANK,UCO Bank,33505.7,11600.6,Financial Services,Banks - Regional,1,7,all providers returned nothing (or unparseable)
MANAPPURAM,Manappuram Finance Limited,32867.4,4183.1,Financial Services,Credit Services,1,8,all providers returned nothing (or unparseable)
MRPL,Mangalore Refinery and Petrochemicals Limited,30514.5,88667.5,Energy,Oil & Gas Refining & Marketing,1,8,all providers returned nothing (or unparseable)
METROBRAND,Metro Brands Limited,29273.5,2863.6,Consumer Cyclical,Apparel Retail,1,7,all providers returned nothing (or unparseable)
JUBLFOOD,Jubilant FoodWorks Limited,27727.6,9512.5,Consumer Cyclical,Restaurants,0,6,all providers returned nothing (or unparseable)
SJVN,SJVN Limited,26997.7,4528.3,Utilities,Utilities - Renewable,1,8,all providers returned nothing (or unparseable)
PTCIL,PTC Industries Limited,26710.7,602.8,Industrials,Metal Fabrication,1,7,all providers returned nothing (or unparseable)
RUBICON,RUBICON RESEARCH LIMITED,24600.5,1754.0,Healthcare,Drug Manufacturers - General,1,8,all providers returned nothing (or unparseable)
TIMKEN,Timken India Limited,23451.7,3478.0,Industrials,Tools & Accessories,1,8,all providers returned nothing (or unparseable)
SANSERA,Sansera Engineering Limited,20535.1,3497.9,Consumer Cyclical,Auto Parts,1,7,all providers returned nothing (or unparseable)
TDPOWERSYS,TD Power Systems Limited,17738.2,1856.2,Industrials,Specialty Industrial Machinery,1,8,all providers returned nothing (or unparseable)
FIVESTAR,Five-Star Business Finance Limited,16785.9,2265.4,Financial Services,Credit Services,1,7,all providers returned nothing (or unparseable)
WELSPUNLIV,Welspun Living Limited,15541.4,9399.1,Consumer Cyclical,Textile Manufacturing,1,7,all providers returned nothing (or unparseable)
UJJIVANSFB,Ujjivan Small Finance Bank Limited,12681.0,4179.4,Financial Services,Banks - Regional,1,7,all providers returned nothing (or unparseable)
SWANDEF,SWAN DEFENCE N HEVY IND L,12231.2,282.1,Industrials,Aerospace & Defense,0,3,all providers returned nothing (or unparseable)
TITAGARH,Titagarh Rail Systems Limited,11425.7,3185.8,Industrials,Railroads,1,7,all providers returned nothing (or unparseable)
TSFINV,TSF Investments Limited,10445.3,984.9,Financial Services,Asset Management,1,7,all providers returned nothing (or unparseable)
SUDEEPPHRM,SUDEEP PHARMA LIMITED,9788.1,642.3,Healthcare,Drug Manufacturers - Specialty & Generic,1,8,all providers returned nothing (or unparseable)
PGIL,Pearl Global Industries Limited,9577.2,5024.6,Consumer Cyclical,Apparel Manufacturing,1,8,all providers returned nothing (or unparseable)
TARIL,TRANS & RECTI. LTD,9543.8,2508.8,Industrials,Electrical Equipment & Parts,1,7,all providers returned nothing (or unparseable)
LEMONTREE,Lemon Tree Hotels Limited,8747.5,1444.5,Consumer Cyclical,Lodging,1,7,all providers returned nothing (or unparseable)
QPOWER,QUALITY POWER ELEC EQUP L,8732.6,947.3,Industrials,Electrical Equipment & Parts,0,3,all providers returned nothing (or unparseable)
RELIGARE,Religare Enterprises Limited,8708.3,8493.8,Financial Services,Insurance - Life,1,7,all providers returned nothing (or unparseable)
KRN,KRN HEAT EXCHANGE N REF L,8217.7,600.1,Technology,Electronic Components,0,3,all providers returned nothing (or unparseable)
V2RETAIL,V2 Retail Limited,8202.2,3067.1,Consumer Cyclical,Apparel Retail,1,8,all providers returned nothing (or unparseable)
TANLA,Tanla Platforms Limited,7527.9,4417.7,Technology,Software - Application,1,7,all providers returned nothing (or unparseable)
POWERICA,POWERICA LIMITED,7169.2,3011.5,Industrials,Specialty Industrial Machinery,1,8,all providers returned nothing (or unparseable)
VIKRAMSOLR,VIKRAM SOLAR LIMITED,6798.9,4802.3,Technology,Solar,1,8,all providers returned nothing (or unparseable)
SUPRAJIT,Suprajit Engineering Limited,6721.8,3824.8,Consumer Cyclical,Auto Parts,1,7,all providers returned nothing (or unparseable)
JUSTDIAL,Just Dial Limited,6311.5,1213.9,Communication Services,Internet Content & Information,1,7,all providers returned nothing (or unparseable)
SKIPPER,Skipper Limited,6141.4,5552.8,Industrials,Engineering & Construction,1,7,all providers returned nothing (or unparseable)
RPEL,Raghav Productivity Enhancers Limited,5757.7,257.1,Basic Materials,Chemicals,1,8,all providers returned nothing (or unparseable)
MOIL,MOIL Limited,5514.4,1472.8,Basic Materials,Other Industrial Metals & Mining,1,8,all providers returned nothing (or unparseable)
PURVA,Puravankara Limited,5211.4,3739.8,Real Estate,Real Estate - Development,1,8,all providers returned nothing (or unparseable)
PTC,PTC India Limited,5081.0,16770.8,Utilities,Utilities - Independent Power Producers,1,8,all providers returned nothing (or unparseable)
BLISSGVS,Bliss GVS Pharma Limited,4968.0,927.1,Healthcare,Drug Manufacturers - Specialty & Generic,0,4,all providers returned nothing (or unparseable)
VADILALIND,Vadilal Industries Limited,4848.2,1503.1,Consumer Defensive,Packaged Foods,1,8,all providers returned nothing (or unparseable)
PACEDIGITK,Pace Digitek Limited,4397.3,2641.3,Technology,Communication Equipment,1,8,all providers returned nothing (or unparseable)
IDEAFORGE,ideaForge Technology Limited,4225.0,226.1,Technology,Computer Hardware,0,3,all providers returned nothing (or unparseable)
VRLLOG,VRL Logistics Limited,4172.1,3221.1,Industrials,Trucking,1,8,all providers returned nothing (or unparseable)
RAYMOND,Raymond Limited,4099.6,2221.9,Industrials,Specialty Industrial Machinery,1,8,all providers returned nothing (or unparseable)
KSL,Kalyani Steels Limited,3991.2,1414.4,Basic Materials,Steel,1,7,all providers returned nothing (or unparseable)
ORIENTELEC,Orient Electric Limited,3768.5,3326.4,Consumer Cyclical,"Furnishings, Fixtures & Appliances",1,8,all providers returned nothing (or unparseable)
RELTD,Ravindra Energy Limited,3506.6,543.2,Technology,Solar,1,7,all providers returned nothing (or unparseable)
SAMBHV,SAMBHV STEEL TUBES LTD,3490.4,2413.2,Basic Materials,Steel,1,8,all providers returned nothing (or unparseable)
MARINE,Marine Electricals (India) Limited,3459.2,876.9,Industrials,Electrical Equipment & Parts,1,8,all providers returned nothing (or unparseable)
SHANTIGEAR,Shanthi Gears Limited,3223.1,518.7,Industrials,Specialty Industrial Machinery,1,8,all providers returned nothing (or unparseable)
STEELCAS,Steelcast Limited,3128.1,423.2,Basic Materials,Steel,1,7,all providers returned nothing (or unparseable)
VSSL,Vardhman Special Steels Limited,3050.4,1754.4,Basic Materials,Steel,1,7,all providers returned nothing (or unparseable)
