symbol,name,check,detail
21STCENMGM,Twentyfirst Century Management Services Limited,negative_revenue,"revenue=-168,779,008 (revenue cannot be negative)"
BOHRAIND,Bohra Industries Limited,extreme_ebitda_margin,"ebitda_margin_pct=-92,980.00% (outside +/-300%, needs a human look -- may be a real near-zero-revenue case, see BOHRAIND/SPARC precedent)"
CREATIVEYE,Creative Eye Limited,extreme_ebitda_margin,"ebitda_margin_pct=-417.48% (outside +/-300%, needs a human look -- may be a real near-zero-revenue case, see BOHRAIND/SPARC precedent)"
IFCI,IFCI Limited,negative_revenue,"revenue=-5,927,199,744 (revenue cannot be negative)"
IITL,Industrial Investment Trust Limited,negative_revenue,"revenue=-153,720,992 (revenue cannot be negative)"
INDOSTAR,IndoStar Capital Finance Limited,negative_revenue,"revenue=-3,712,600,064 (revenue cannot be negative)"
KOHINOOR,Kohinoor Foods Limited,extreme_roce,"return_on_capital_employed_pct=811.35% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
SAMMAANCAP,Sammaan Capital Limited,negative_revenue,"revenue=-10,801,399,808 (revenue cannot be negative)"
SPANDANA,Spandana Sphoorty Financial Limited,negative_revenue,"revenue=-1,627,600,000 (revenue cannot be negative)"
SPARC,Sun Pharma Advanced Research Company Limited,extreme_ebitda_margin,"ebitda_margin_pct=4,083.68% (outside +/-300%, needs a human look -- may be a real near-zero-revenue case, see BOHRAIND/SPARC precedent)"
STCINDIA,The State Trading Corporation of India Limited,negative_revenue,"revenue=-231,600,992 (revenue cannot be negative)"
SUPREMEINF,Supreme Infrastructure India Limited,extreme_roce,"return_on_capital_employed_pct=2,150.59% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
TRU,TruCap Finance Limited,negative_revenue,"revenue=-713,164,032 (revenue cannot be negative)"
DCMFINSERV,DCM Financial Services Limited,negative_revenue,"revenue=-743,000 (revenue cannot be negative)"
FEL,Future Enterprises Limited,extreme_roce,"return_on_capital_employed_pct=-1,492.19% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
FELDVR,Future Enterprises Limited,extreme_roce,"return_on_capital_employed_pct=-1,492.19% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
GVKPIL,GVK Power & Infrastructure Limited,extreme_roce,"return_on_capital_employed_pct=-1,357.80% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
NOIDATOLL,Noida Toll Bridge Company Limited,extreme_roce,"return_on_capital_employed_pct=397.73% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
RHFL,Reliance Home Finance Limited,negative_revenue,"revenue=-6,778,000 (revenue cannot be negative)"
RHFL,Reliance Home Finance Limited,extreme_roce,"return_on_capital_employed_pct=-260.64% (outside +/-200%, needs a human look -- may be a real small-capital-base case, see SUPREMEINF/KOHINOOR precedent)"
TCIFINANCE,TCI Finance Limited,negative_revenue,"revenue=-9,293,000 (revenue cannot be negative)"
21STCENMGM,Twentyfirst Century Management Services Limited,margin_mismatch,"stored ebitda_margin_pct=0.00% but ebitda/revenue recomputes to 141.86% (ebitda=-239,438,000, revenue=-168,779,008, diff=141.86 points > tolerance 5)"
21STCENMGM,Twentyfirst Century Management Services Limited,zero_margin_nonzero_ebitda,"ebitda_margin_pct=0.0000% (~0) but ebitda=-239,438,000 is materially non-zero -- mathematically impossible for any finite revenue (revenue=-168,779,008)"
3BBLACKBIO,3B Blackbio Dx Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
AARNAV,Aarnav Fashions Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
ABMKNO,ABM Knowledgeware Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
ACSTECH,ACS Technologies Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
AKCAPIT,A. K. Capital Services Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
AMIRCHAND,AMIR CHAND JAG KUM (E) L,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
ARTEMISMED,Artemis Medicare Services Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
ASHIKA,Ashika Global Securities Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
ASTAR,Asian Star Company Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
BAJAJST,Bajaj Steel Industries Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
BENGALASM,Bengal & Assam Company Limited,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
BHARATCOAL,BHARAT COKING COAL LTD,partial_pull_suspected,"total_debt is populated but market_cap is missing. Caveat, checked directly against this dataset rather than assumed: market_cap (95.9% populated) is actually *not* more reliably available than total_debt (97.4%) overall, and the reverse gap (market_cap present, total_debt missing) happens for 48 other companies -- so this is weaker evidence of a partial pull than it might look at first glance. Flagged as requested, but treat as a lower-confidence signal than the other checks in this report."
