symbol,name,sector,industry,revenue,ebitda,ebitda_margin_pct,total_debt,market_cap,insider_holding_pct,revenue_growth_pct,return_on_equity_pct,return_on_capital_employed_pct,promoter_pledge_pct,net_income,as_of_date,status,financial_currency,currency_flag,total_assets,retained_earnings,working_capital,current_ratio,quick_ratio,debt_to_equity,return_on_assets,beta,peg_ratio,enterprise_value,total_cash,operating_cash_flow,free_cash_flow,price_to_book,trailing_pe,data_pull_date,ebit,total_liabilities,net_income_fy0,net_income_fy1,operating_cash_flow_fy0,operating_cash_flow_fy1,total_assets_fy0,total_assets_fy1,long_term_debt_fy0,long_term_debt_fy1,current_assets_fy0,current_assets_fy1,current_liabilities_fy0,current_liabilities_fy1,total_revenue_fy0,total_revenue_fy1,cost_of_revenue_fy0,cost_of_revenue_fy1,shares_outstanding_fy0,shares_outstanding_fy1,market_cap_as_of
MTARTECH,MTAR Technologies Limited,Industrials,Specialty Industrial Machinery,8762059776,1712060032,19.539,3765649920,171438587904,29.697,67.2,12.121,15.2967,3.52,940300032,2026-07-21,ok,INR,OK,17434250000.0,,4013760000.0,1.552,0.789,45.778,0.05924,1.099,,178040012800,2365600000,1969030016,266483744,20.836294,183.0979,2026-07-21,1555040000.0,9208380000.0,940300000.0,528870000.0,1969030000.0,1012530000.0,17434250000.0,11302820000.0,1476620000.0,810460000.0,11282150000.0,6180760000.0,7268390000.0,2900990000.0,8654010000.0,6646460000.0,4584060000.0,3419150000.0,30759591.0,30759591.0,2026-07-21
GANGAFO-RE,GANGA FORGING LTD,,,,,,,,,,,,,,2026-07-21,ok,INR,OK,,,,,,,,,,,,,,,,2026-07-21,,,,,,,,,,,,,,,,,,,,,2026-07-21
SUMEET-RE,SUMEET INDUSTRIES LTD,,,,,,,,,,,,,,2026-07-21,ok,INR,OK,,,,,,,,,,,,,,,,2026-07-21,,,,,,,,,,,,,,,,,,,,,2026-07-21
ABAN,Aban Offshore Limited,Energy,Oil & Gas Drilling,4262149888,1106207488,25.954,162784133120,887736576,47.151,-24.1,,,19.37,-7905670144,2026-07-21,ok,INR,OK,15329850000.0,-240169180000.0,-263661780000.0,,,,,-0.512,,162168242176,1491510016,,,-0.003302805,,2026-07-21,2120590000.0,269349810000.0,-8893920000.0,-13178410000.0,1388900000.0,-723430000.0,15329850000.0,15150370000.0,0.0,0.0,5682940000.0,5660060000.0,269344720000.0,253864460000.0,4756550000.0,3996650000.0,833480000.0,961500000.0,58365323.0,58365323.0,2026-07-21
ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Steel,8180030976,-2329467136,-28.477,11049052160,211665744,71.019,-25.5,,,,-2567971072,2026-07-21,ok,INR,OK,11950516000.0,-13301759000.0,-13430297000.0,,,,,0.009,,11244091392,10982000,,,-0.02050665,,2026-07-21,-986718000.0,20776947000.0,-987473000.0,-516231000.0,539720000.0,601015000.0,11950516000.0,12193612000.0,110300000.0,656608000.0,7189476000.0,7273298000.0,20619773000.0,19346204000.0,7575032000.0,6761444000.0,8990791000.0,7454199000.0,141110500.0,141110500.0,2026-07-21
AASTHA,AASTHA SPINTEX LIMITED,Consumer Cyclical,Textile Manufacturing,3511601920,503136992,14.328,,,62.506,,23.64,27.1794,,234960992,2026-07-21,ok,INR,OK,2742018000.0,716672000.0,749085000.0,1.639,0.427,,0.10265,,,,,-182608992,-337690496,2.6657166,24.865126,2026-07-21,424991000.0,1531496000.0,229162000.0,162876000.0,-181341000.0,129313000.0,2742018000.0,2405702000.0,263446000.0,380877000.0,1927449000.0,1521558000.0,1178364000.0,1181065000.0,3436950000.0,2960237000.0,2895091000.0,2574351000.0,44142190.0,44142190.0,2026-07-21
AKSHOPTFBR,Aksh Optifibre Limited,Technology,Communication Equipment,1272311040,26574000,2.089,1022395008,920870464,27.089,23.8,,-54.1506,0.0,-130731000,2026-07-21,ok,INR,OK,2941343000.0,,-1048934000.0,0.633,0.202,,-0.01878,0.156,,1674386688,237039008,2204000,352616384,-7.0310555,,2026-07-21,-44325000.0,3070347000.0,-130731000.0,-259666000.0,2204000.0,-191538000.0,2941343000.0,2815485000.0,0.0,0.0,1810554000.0,1634746000.0,2859488000.0,2490652000.0,1272311000.0,1300396000.0,869208000.0,919275000.0,162697971.0,162697971.0,2026-07-21
APTECHT,Aptech Limited,Consumer Defensive,Education & Training Services,5034250240,315103008,6.259,125798000,5396001792,50.822,-6.5,9.411,14.0816,0.0,235239008,2026-07-21,ok,INR,OK,4277521000.0,,1119788000.0,1.685,0.626,5.06,0.03586,0.355,,5236348928,352371008,236348992,-69372376,2.1506345,22.913794,2026-07-21,372260000.0,1791356000.0,235239000.0,190788000.0,236349000.0,201000000.0,4277521000.0,3903822000.0,,,2753710000.0,3133665000.0,1633922000.0,1313608000.0,5034250000.0,4601010000.0,740705000.0,705126000.0,58002817.0,57999743.0,2026-07-21
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,4722690048,71719000,1.519,607486976,2198309120,51.155,75.3,2.747,6.845,0.0,39676000,2026-07-21,ok,INR,OK,2972467000.0,,1178656000.0,1.812,0.917,40.385,0.00918,1.118,,2736318464,33980000,101392000,-294908128,1.4665657,55.776978,2026-07-21,104160000.0,1468235000.0,39676000.0,40239000.0,101392000.0,103004000.0,2972467000.0,2905920000.0,9740000.0,19866000.0,2629422000.0,2656190000.0,1450766000.0,1492061000.0,4722690000.0,4739433000.0,4545070000.0,4620612000.0,28354303.0,28454303.0,2026-07-21
AARTECH,Aartech Solonics Limited,Industrials,Electrical Equipment & Parts,408841984,61347000,15.005,56170000,1508457472,70.071,65.5,11.931,19.3951,0.0,40485000,2026-07-21,ok,INR,OK,506292000.0,,276389000.0,2.854,2.032,16.02,0.07511,0.748,,1673274240,123730000,-7495000,-29682124,4.8652525,37.984,2026-07-21,69282000.0,155659000.0,40485000.0,27300000.0,-7495000.0,-15474000.0,506292000.0,428093000.0,,,425467000.0,341087000.0,149078000.0,108221000.0,408842000.0,363522000.0,224931000.0,176874000.0,31770375.0,31770375.0,2026-07-21
ABANSENT,ABans Enterprises Limited,,,138128228352,-51952000,-0.038,1612381056,,87.856,229.8,1.876,,,39640000,2026-07-21,ok,INR,OK,,,,2.53,1.702,74.518,-0.01092,1.305,,2404298496,1174937984,1606377984,1352079360,0.8893472,,2026-07-21,,,,,,,,,,,,,,,,,,,,,2026-07-21
ACCURACY,Accuracy Shipping Limited,Industrials,Integrated Freight & Logistics,6705760256,294440000,4.391,1572530048,754305664,63.687,-32.0,3.194,10.4055,0.0,39190000,2026-07-21,ok,INR,OK,3242780000.0,,857350000.0,1.585,1.002,124.622,0.03302,0.16,,2171710720,150260000,248560000,-424603744,0.5891346,19.269232,2026-07-21,184870000.0,1980940000.0,39440000.0,46520000.0,248560000.0,5590000.0,3242780000.0,3151040000.0,454820000.0,216210000.0,2323480000.0,2269930000.0,1466130000.0,1658630000.0,6705750000.0,9460630000.0,6370440000.0,9137870000.0,150560000.0,150560000.0,2026-07-21
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Specialty Industrial Machinery,1176701056,138739008,11.791,740128000,2323053568,58.1,-39.7,6.605,10.4038,0.0,69711000,2026-07-21,ok,INR,OK,2579749000.0,,862516000.0,1.744,0.854,67.073,0.02925,0.258,,2824808704,70393000,71825000,-355250112,1.9997348,31.61613,2026-07-21,147701000.0,1476283000.0,69711000.0,-116488000.0,71825000.0,-57778000.0,2579749000.0,2327569000.0,261925000.0,253623000.0,2022587000.0,1705641000.0,1160071000.0,1066045000.0,1176701000.0,1625585000.0,695349000.0,1111642000.0,11246266.0,11246266.0,2026-07-21
AFIL,AKME FINTRADE (INDIA) LTD,Financial Services,Credit Services,864588032,,0.0,5033652224,4234792192,55.054,63.1,10.501,7.4857,5.04,423214016,2026-07-21,ok,INR,OK,9342936000.0,1401156000.0,1613787000.0,4.19,3.79,118.754,0.05258,0.77,,8719381504,453744992,-1666050048,,0.96949565,9.727273,2026-07-21,540733000.0,5104225000.0,423214000.0,332319000.0,-1666050000.0,-1771049000.0,9342936000.0,6753644000.0,2949134000.0,2817735000.0,3733203000.0,6543127000.0,2119416000.0,76587000.0,1407380000.0,979082000.0,718549000.0,458305000.0,426749960.0,426749960.0,2026-07-21
AGL,ALLCARGO GLOBAL LIMITED,Industrials,Integrated Freight & Logistics,,,0.0,,12874445824,63.285,,,,0.0,,2026-07-21,ok,INR,OK,,,,,,,,,,,,,,,,2026-07-21,,,,,,,,,,,,,,,,,,,,,2026-07-21
AGRITECH,Agri-tech (India) Limited,Consumer Defensive,Farm Products,,,0.0,,659399424,47.884,,,-0.947,0.0,,2026-07-21,ok,INR,OK,1001558000.0,,899727000.0,,,,,,,,,,,,,2026-07-21,-9408000.0,8800000.0,-9408000.0,-11125000.0,-718000.0,-6389000.0,1001558000.0,1019521000.0,,0.0,907847000.0,918804000.0,8120000.0,18051000.0,2781000.0,1802000.0,1882000.0,8039000.0,5940000.0,5940000.0,2026-07-21
AHLWEST,Asian Hotels (West) Limited,Consumer Cyclical,Lodging,4353908224,1949490048,44.776,8392481792,6524677632,74.085,5.9,,31.0429,0.0,649766016,2026-07-21,ok,INR,OK,9771689000.0,-2290852000.0,-3889624000.0,0.269,0.241,,0.10025,0.401,,13877955584,1039171008,2029057024,736662528,-48.56474,10.039441,2026-07-21,1381323000.0,9906068000.0,649766000.0,397974000.0,2029057000.0,1383532000.0,9771689000.0,9683010000.0,2072333000.0,2966799000.0,1432340000.0,930746000.0,5321964000.0,5094098000.0,4002403000.0,4105091000.0,1342695000.0,1303025000.0,11651210.0,11651210.0,2026-07-21
AKSHARCHEM,AksharChem (India) Limited,Basic Materials,Specialty Chemicals,3724300032,170072992,4.567,1084647936,1880950144,71.182,16.6,-0.167,0.796,0.0,-4386000,2026-07-21,ok,INR,OK,4516077000.0,,-21532000.0,0.986,0.418,41.473,0.00068999996,0.465,,2954889728,17416000,16682000,-377447264,0.71907425,,2026-07-21,23731000.0,1900786000.0,-4386000.0,47704000.0,16682000.0,348225000.0,4516077000.0,4153000000.0,178837000.0,133159000.0,1513098000.0,1344056000.0,1534630000.0,1153822000.0,3724300000.0,3462652000.0,2231691000.0,1980147000.0,8033099.0,8033099.0,2026-07-21
ALKALI,Alkali Metals Limited,Basic Materials,Specialty Chemicals,930289984,77245000,8.303,182283008,834965504,69.588,15.5,1.248,11.2222,30.06,5565000,2026-07-21,ok,INR,OK,955492000.0,,62225000.0,1.132,0.441,40.789,0.03209,0.607,,1038062336,9956000,28181000,-3598000,1.8699687,78.095245,2026-07-21,54507000.0,508600000.0,5565000.0,-57998000.0,28181000.0,52477000.0,955492000.0,929362000.0,0.0,2280000.0,532009000.0,458687000.0,469784000.0,449435000.0,930290000.0,823300000.0,516249000.0,495608000.0,10182506.0,10182506.0,2026-07-21
AMANTA,AMANTA HEALTHCARE LIMITED,Healthcare,Drug Manufacturers - Specialty & Generic,2876766976,598585024,20.808,2444432896,6520612864,68.499,6.8,9.397,10.0427,0.0,148752000,2026-07-21,ok,INR,OK,5579807000.0,,974706000.0,1.691,0.962,111.004,0.05471,,,7174727168,926368000,484464000,-440153504,2.6200578,38.78291,2026-07-21,418704000.0,3377697000.0,148752000.0,105007000.0,484464000.0,466200000.0,5579807000.0,3817585000.0,1619706000.0,1210201000.0,2385274000.0,1379192000.0,1410568000.0,1150826000.0,2876767000.0,2747082000.0,966456000.0,940553000.0,38829351.0,38829351.0,2026-07-21
ANIKINDS,Anik Industries Limited,Consumer Defensive,Food Distribution,3155072512,255812464,8.108,117274560,1177580416,76.648,-13.3,7.674,0.2949,0.0,247821776,2026-07-21,ok,INR,OK,4776284000.0,,2752648000.0,1.8,1.196,3.695,0.02228,,,797592640,488184320,,,0.36977002,,2026-07-21,12850000.0,728139000.0,-7658000.0,31003000.0,-498619000.0,-623851000.0,4776284000.0,4493163000.0,306264000.0,0.0,3171771000.0,2671057000.0,419123000.0,436580000.0,1440600000.0,1163725000.0,1363157000.0,1082174000.0,27753486.0,27753486.0,2026-07-21
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Real Estate - Development,7613400064,-12674772992,-166.48,4508136960,453326080,52.711,-3.3,,,72.38,-12117000192,2026-07-21,ok,INR,OK,59143120000.0,-20920335000.0,-15331270000.0,0.608,0.042,,-0.15226,0.006,,5711765504,275470016,-146676000,1427056000,-0.02616089,,2026-07-21,-255878000.0,65288911000.0,-439248000.0,-4233180000.0,838205000.0,3588230000.0,59143120000.0,63190951000.0,81309000.0,540182000.0,47692982000.0,51298366000.0,63024252000.0,66090206000.0,5240971000.0,6602899000.0,3649058000.0,9051056000.0,157404876.0,157404876.0,2026-07-21
ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging & Containers,2005100032,645800000,32.208,22600000,10571364352,69.185,-27.1,22.236,27.0772,0.0,473500000,2026-07-21,ok,INR,OK,2558100000.0,,1842300000.0,13.706,11.288,0.957,0.15297,-0.176,,8823991296,1294400000,430500000,348087488,4.5143814,22.342155,2026-07-21,653400000.0,196000000.0,473500000.0,631300000.0,430500000.0,675700000.0,2558100000.0,2084100000.0,,0.0,1987300000.0,1526400000.0,145000000.0,147700000.0,2005100000.0,2433500000.0,911900000.0,1120400000.0,15087938.0,15087938.0,2026-07-21
ARSHIYA,Arshiya Limited,Industrials,Integrated Freight & Logistics,1544071040,253928992,16.445,18482407424,260841168,25.664,2.8,,,100.0,-28185550848,2026-07-21,ok,INR,OK,15526579000.0,-27991876000.0,-14337044000.0,0.076,0.007,,-0.02497,0.431,,18718279680,142326000,954611968,30220429312,-0.008211202,,2026-07-21,-8746877000.0,18984990000.0,-11749510000.0,-1825098000.0,-173538000.0,95355000.0,15526579000.0,17177889000.0,0.0,0.0,4600247000.0,6180800000.0,18937291000.0,8834862000.0,137665000.0,261948000.0,203012000.0,212677000.0,263475915.0,263475915.0,2026-07-21
ASMS,Avio Smart Market Stack Limited,Technology,Information Technology Services,1039577984,56753000,5.459,87541000,2165540608,67.496,286.1,19.015,13.0615,0.0,59350000,2026-07-21,ok,INR,OK,680408000.0,,17049000.0,1.385,1.374,25.615,0.06881,0.263,,2222363904,12006000,13666000,-3646250,6.19338,37.421055,2026-07-21,55372000.0,338654000.0,59350000.0,17463000.0,13666000.0,-25206000.0,680408000.0,325550000.0,76873000.0,1497000.0,273525000.0,44063000.0,256476000.0,35105000.0,1039578000.0,400360000.0,951623000.0,365251000.0,304576740.0,304576740.0,2026-07-21
ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper & Paper Products,27928000,-24770000,-88.692,769913984,185268208,52.45,-92.4,-26.573,-10.8958,0.0,-211812992,2026-07-21,ok,INR,OK,2033451000.0,,-478386000.0,0.584,0.187,113.06,-0.02863,0.157,,943282432,1104000,142694000,96805128,0.26852995,,2026-07-21,-96237000.0,1352470000.0,-211813000.0,-567101000.0,142694000.0,39709000.0,2033451000.0,2170381000.0,193484000.0,177835000.0,671816000.0,729113000.0,1150202000.0,1073708000.0,27928000.0,962278000.0,23545000.0,954813000.0,46500000.0,46500000.0,2026-07-21
AUSOMENT,AuSom Enterprise Limited,Financial Services,Capital Markets,20931184640,219120000,1.047,88527000,1780053376,78.691,-5.5,12.807,15.1416,0.0,194808000,2026-07-21,ok,INR,OK,1983083000.0,,589843000.0,3.03,0.096,5.493,0.06858,0.382,,1862408448,19791000,-31138000,-19200750,1.1029232,9.137063,2026-07-21,256271000.0,371354000.0,194808000.0,195538000.0,-31138000.0,81449000.0,1983083000.0,1857038000.0,1276000.0,,880429000.0,1115498000.0,290586000.0,425693000.0,20849300000.0,23925335000.0,20653945000.0,23829110000.0,13623552.0,13623552.0,2026-07-21
AUTOIND,Autoline Industries Limited,Consumer Cyclical,Auto Parts,8240500224,787000000,9.55,3245400064,3913174272,53.831,48.4,21.987,24.7538,0.0,385000000,2026-07-21,ok,INR,OK,7488300000.0,,-859600000.0,0.789,0.479,164.641,0.047199998,0.041,,7196060160,85700000,95600000,-91700496,1.9857241,10.03958,2026-07-21,847200000.0,5517100000.0,385000000.0,177900000.0,95600000.0,664200000.0,7488300000.0,7576441000.0,1354700000.0,1268420000.0,3206200000.0,4021743000.0,4065800000.0,4099472000.0,8240500000.0,6585500000.0,5454000000.0,4356900000.0,45375401.0,43175401.0,2026-07-21
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,Confectioners,26935181312,2266469888,8.415,14071809024,11054172160,71.489,-1.2,5.15,10.3495,0.0,573052992,2026-07-21,ok,INR,OK,28802027000.0,7262122000.0,2137493000.0,1.163,0.048,125.143,0.03598,-0.044,,24690540544,19057000,1575702016,-464761376,0.9830643,19.280727,2026-07-21,1625311000.0,17557422000.0,573053000.0,879351000.0,1575702000.0,1539600000.0,28802027000.0,28798850000.0,3268034000.0,2964812000.0,15235346000.0,15412185000.0,13097853000.0,13765344000.0,26898763000.0,26277343000.0,21477479000.0,20557406000.0,20018420.0,20018420.0,2026-07-21
AVG,AVG Logistics Limited,Industrials,Integrated Freight & Logistics,5574090752,563105024,10.102,2196476928,3772483328,53.356,5.1,10.145,16.1355,66.71,262662000,2026-07-21,ok,INR,OK,5483736000.0,,1382606000.0,1.972,1.714,81.0,0.04828,-0.618,,5231163392,77738000,490420000,-744202624,1.1202778,11.96026,2026-07-21,655337000.0,2772043000.0,261721000.0,213271000.0,490420000.0,85497000.0,5483736000.0,4990272000.0,887135000.0,304484000.0,2804888000.0,2476054000.0,1422282000.0,1431743000.0,5574091000.0,5515177000.0,710621000.0,663027000.0,15515008.0,15515008.0,2026-07-21
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,1506173952,159476000,10.588,374332992,5525646848,90.224,8.1,12.268,12.3635,0.0,110998000,2026-07-21,ok,INR,OK,1755324000.0,,324625000.0,1.568,0.804,38.932,0.03756,0.078,,5781190144,20245000,153708000,-199710128,5.7573147,49.803837,2026-07-21,146313000.0,793829000.0,110998000.0,41525000.0,153708000.0,221359000.0,1755324000.0,1530791000.0,177822000.0,140285000.0,896521000.0,847276000.0,571896000.0,518517000.0,1506174000.0,1458570000.0,1024839000.0,1030610000.0,23656335.0,23656335.0,2026-07-21
BALAXI,Balaxi Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,2701734912,85282000,3.157,576489024,1301792896,,-7.3,0.589,3.3457,0.0,14169000,2026-07-21,ok,INR,OK,3370295000.0,,1892711000.0,4.045,2.424,23.145,0.012309999,0.696,,1725580288,145588000,-44998000,-634658752,0.5273988,90.692314,2026-07-21,91965000.0,879532000.0,14169000.0,250702000.0,-44998000.0,-350034000.0,3370295000.0,3103424000.0,223534000.0,212447000.0,2514287000.0,2427658000.0,621576000.0,545321000.0,2701735000.0,2925612000.0,1508753000.0,1657009000.0,55207500.0,55207500.0,2026-07-21
