timestamp,symbol,outcome,detail
2026-07-21T21:16:27,MTARTECH,ok,2/56 fields blank
2026-07-21T21:16:48,GANGAFO-RE,ok,48/56 fields blank
2026-07-21T21:17:08,SUMEET-RE,ok,48/56 fields blank
2026-07-21T21:17:11,ABAN,ok,10/56 fields blank
2026-07-21T21:17:14,ANKITMETAL,ok,11/56 fields blank
2026-07-21T21:17:16,AASTHA,ok,9/56 fields blank
2026-07-21T21:17:19,AKSHOPTFBR,ok,5/56 fields blank
2026-07-21T21:17:22,APTECHT,ok,4/56 fields blank
2026-07-21T21:20:29,AAREYDRUGS,ok,2/56 fields blank
2026-07-21T21:20:32,AARTECH,ok,4/56 fields blank
2026-07-21T21:20:52,ABANSENT,ok,30/56 fields blank
2026-07-21T21:20:55,ACCURACY,ok,2/56 fields blank
2026-07-21T21:20:58,AFFORDABLE,ok,2/56 fields blank
2026-07-21T21:21:01,AFIL,ok,3/56 fields blank
2026-07-21T21:21:22,AGL,ok,42/56 fields blank
2026-07-21T21:21:25,AGRITECH,ok,20/56 fields blank
2026-07-21T21:21:27,AHLWEST,ok,3/56 fields blank
2026-07-21T21:21:30,AKSHARCHEM,ok,3/56 fields blank
2026-07-21T21:21:33,ALKALI,ok,2/56 fields blank
2026-07-21T21:21:36,AMANTA,ok,3/56 fields blank
2026-07-21T21:21:39,ANIKINDS,ok,6/56 fields blank
2026-07-21T21:21:42,ANSALAPI,ok,5/56 fields blank
2026-07-21T21:21:45,ARROWGREEN,ok,3/56 fields blank
2026-07-21T21:21:48,ARSHIYA,ok,5/56 fields blank
2026-07-21T21:21:51,ASMS,ok,2/56 fields blank
2026-07-21T21:21:53,ASTRON,ok,3/56 fields blank
2026-07-21T21:21:56,AUSOMENT,ok,3/56 fields blank
2026-07-21T21:21:59,AUTOIND,ok,2/56 fields blank
2026-07-21T21:22:02,AVADHSUGAR,ok,1/56 fields blank
2026-07-21T21:22:05,AVG,ok,2/56 fields blank
2026-07-21T21:22:08,BAFNAPH,ok,2/56 fields blank
2026-07-21T21:22:11,BALAXI,ok,3/56 fields blank
2026-07-21T21:22:14,BANKA,ok,4/56 fields blank
2026-07-21T21:22:17,BASML,ok,1/56 fields blank
2026-07-21T21:22:20,BGRENERGY,ok,5/56 fields blank
2026-07-21T21:22:23,BHAGERIA,ok,1/56 fields blank
2026-07-21T21:22:26,BHAGYANGR,ok,1/56 fields blank
2026-07-21T21:22:29,BHANDARI,ok,2/56 fields blank
2026-07-21T21:22:31,BHARATGEAR,ok,2/56 fields blank
2026-07-21T21:22:34,BILVYAPAR,ok,8/56 fields blank
2026-07-21T21:22:37,BIRLACABLE,ok,1/56 fields blank
