symbol,name,outcome,sector,industry,ey_bucket,sector_v2,detail
3BBLACKBIO,3B Blackbio Dx Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
3PLAND,3P Land Holdings Ltd,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
AARNAV,Aarnav Fashions Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ABMKNO,ABM Knowledgeware Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ACSTECH,ACS Technologies Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
AKCAPIT,A. K. Capital Services Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ARTEMISMED,Artemis Medicare Services Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ASHIKA,Ashika Global Securities Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ASTAR,Asian Star Company Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BAJAJST,Bajaj Steel Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BEEKAY,Beekay Steel Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BENGALASM,Bengal & Assam Company Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BI,Bilcare Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BIRLAPREC,Birla Precision Technologies Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BLIL,Balmer Lawrie Investments Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BNALTD,B & A Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
COMFINTE,Comfort Intech Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
DECNGOLD,Deccan Gold Mines Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
DISAQ,DISA India Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
DRAGARWQ,Dr. Agarwal's Eye Hospital Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ELCIDIN,Elcid Investments Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ELITECON,Elitecon International Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ELPROINTL,Elpro International Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
FEDDERSHOL,Fedders Holding Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
FERMENTA,Fermenta Biotech Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
FRONTSP,Frontier Springs Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
GNRL,Gujarat Natural Resources Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
GRANDOAK,Grand Oak Canyons Distillery Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
GRAVISSHO,Graviss Hospitality Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
GUJRAFFIA,Gujarat Raffia Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
HBESD,HB Estate Developers Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
INDPRUD,Industrial And Prudential Investment Company Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
INVPRECQ,Investment & Precision Castings Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
IWP,The Indian Wood Products Company Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
JSWDULUX,JSW Dulux Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
KAMAHOLD,KAMA Holdings Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
KIRANVYPAR,Kiran Vyapar Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
KLBRENG-B,Kilburn Engineering Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
KOTIC,Kothari Industrial Corporation Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
KPL,Kwality Pharmaceuticals Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
LAHOTIOV,Lahoti Overseas Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
MADHAVIPL,Madhav Infra Projects Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
MAFATIND,Mafatlal Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
MCCHRLS-B,Mac Charles (India) Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
MENNPIS,Menon Pistons Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
MERCANTILE,Mercantile Ventures Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
NATIONSTD,National Standard (India) Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
NEAGI,Neelamalai Agro Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
NILE,Nile Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
PIONRINV,Pioneer Investcorp Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
PML,Paul Merchants Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
PRAVEG,Praveg Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
PREMCO,Premco Global Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
QUINT,Quint Digital Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
RAJPALAYAM,Rajapalayam Mills Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
RRIL,RRIL Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
RSDFIN,RSD Finance Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SAPPL,Shree Ajit Pulp and Paper Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SCANSTL,Scan Steels Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SEIL,Shanti Educational Initiatives Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SHBAJRG,Shri Bajrang Alliance Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SHINDL,Sharat Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SHRIKRISH,Shri Krishna Devcon Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SIKA,Sika Interplant Systems Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SINGERIND,Singer India Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SONAL,Sonal Mercantile Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SURYALA,Suryalata Spinning Mills Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
TAALTECH,TAAL Tech Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
TCC,TCC Concept Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
TECHNVISN,TechNVision Ventures Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
THAKDEV,Thakkers Developers Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
WELSPLSOL,Welspun Specialty Solutions Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
WPIL,WPIL Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ZSARACOM,Saraswati Commercial (India) Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
GANGAFO-RE,GANGA FORGING LTD,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
SUMEET-RE,SUMEET INDUSTRIES LTD,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ABANSENT,ABans Enterprises Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BLACKROSE,Black Rose Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
BNAGROCHEM,BN Agrochem Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
DAICHI,Dai-ichi Karkaria Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
EMPOWER,Empower India Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
HALDYNGL,Haldyn Glass Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
KANCHI,Kanchi Karpooram Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
NIMBSPROJ,Nimbus Projects Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
PRADPME,Pradeep Metals Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
TAMBOLIIN,Tamboli Industries Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
THACKER,Thacker and Company Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
VELJAN,Veljan Denison Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
ZODIAC,Zodiac Energy Limited,permanent_gap,,,Unclassified,Unclassified,yfinance returned no sector/industry (empty .info fields)
