month,target,acquirer,sector_raw,deal_value_usdm,deal_type,stake_pct,ey_bucket,source_report,report_year
NA,18 generic products of Efarmes S.A. (Spain),Ranbaxy,Pharma,NA,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Dec-2005,Able Laboratories (U.S.),Sun Pharma,Pharma,23.15,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Aug-2003,Alpharma (France),Zydus Cadila,Pharma (Contract manufacturing / generics),6.6,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Oct-2005,Avecia Pharma (UK),Nicholas Piramal,Pharma,16.9,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
NA,BMS Laboratories and Meridian Healthcare (UK),Dr Reddy's,Pharma,16,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Aug-2005,Beltapharm (Italy),Strides Arcolab,Pharma,NA (EUR1.6 million stated; no USD given),Cross-border acquisition,70%,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Feb-2006,Betapharm Arzneimittel (Germany),Dr Reddy's,Pharma,573.6,Cross-border acquisition (largest-ever by an Indian pharma co. at the time; seller: 3i),NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jul-2005,Biosyntech (Canada),Nicholas Piramal,Pharma,6,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jun-2005,Brand-Veratide from P&G (Germany),Ranbaxy,Pharma,5,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jul-2003,CP Pharma (UK),Wockhardt,Pharma (Biogenerics / U.S. & Europe generics),20,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
NA,Caraco (U.S.),Sun Pharma,Pharma,7.5,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jul-2004,Dobutrex brand acquisition (USA),Nicholas Piramal,Pharma (CRAMS / branded formulations),NA,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jun-2005,Docpharma (Belgium),Matrix Labs,Pharma,263,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
May-2004,Esparma (Germany),Wockhardt,Pharma,11,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Sep-2005,Explora laboratories (Switzerland),Matrix Labs,Pharma,NA,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
NA,Fine Chemicals Corp. (South Africa),Matrix Labs,Pharma,NA,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jun-2005,Heumann Pharma (Germany),Torrent,Pharma (Formulations / European generics),NA,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
2005,ICN Hungary,Sun Pharma,Pharma,NA (undisclosed sum),Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Apr-2004,Klinger Lab (Brazil),Glenmark Pharma,Pharma (Drug discovery research / formulations),5.2,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Mar-2005,MCHEM (China) (JV),Matrix Labs,Pharma (CRAMS / generic APIs),NA,Cross-border acquisition (JV),NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jul-2005,Manufacturing Plant (Poland),Strides Arcolab,Pharma (Generics / OTC / nutraceuticals),8,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Sep-2004,Marsin (Denmark),Hikal,Pharma (API contract manufacturing),6,Cross-border acquisition,50.1%,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
2005,Nihon Pharmaceutical Industry (Japan) - stake,Ranbaxy,Pharma,NA,Cross-border stake acquisition,40%,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jun-2004,PSI (Belgium),Jubilant Organosys,Pharma (CRAMS / specialty chemicals),16,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jan-2004,RPG Aventis (France),Ranbaxy,Pharma (U.S./Europe generic markets),84,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Dec-2004,Rhodia's inhalations business (UK),Nicholas Piramal,Pharma,14,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Nov-2005,Roche's API Business (Mexico),Dr Reddy's,Pharma,59,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Oct-2005,Servycal SA (Argentina),Glenmark Pharma,Pharma,NA,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Apr-2005,Synprotec (UK),Dishman Pharma,Pharma (Contract manufacturing / research services),3.5,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Oct-2005,Target Research Associates (U.S.),Jubilant Organosys,Pharma,33.5,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
May-2004,Trigenesis (USA),Dr Reddy's,Pharma (Generics / APIs / formulations),11,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Jul-2005,Trinity Laboratories (with subsidiary Trigen Laboratories) (U.S.),Jubilant Organosys,Pharma,20.25,Cross-border acquisition,75%,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
Aug-2005,"Two facilities from Valeant Pharma (Hungary, U.S.)",Sun Pharma,Pharma (Branded formulations / generics / APIs),10,Cross-border acquisition,NA,Lifesciences,KPMG The Indian Pharmaceutical Industry: Collaboration for Growth,2006
